"DeathRate","Perc_OnlyPrivate","Perc_Private","Perc_Poverty","Perc_MarriedHouse","Avg_Cases","Mean_Male","Mean_Female","BirthRate","Perc_Married","Perc_Unemployed16","Perc_HighSchool25","Perc_HighSchool18_24","Perc_Col18_24","Perc_Bach25","Perc_Emp16","Avg_DeathPerYear","Mean_Income","IncidenceRate"
140,56.7,78.8,10.2,60.82474227,17,46.1,49.8,4.047619048,66.7,1.2,35.1,38.4,NA,18.1,64.7,6,45710,405.2
191.5,49.8,64.4,16.9,46.52714376,1551,38.1,40.3,5.573940788,48.2,11.5,33.3,34.6,38.8,14,57.4,658,47708,466.6
203.3,60.4,69.1,9.9,42.88224956,8,38.8,32.9,4.391052196,40.6,2.1,37,52.1,NA,10.3,80.1,3,68387,201.3
146.2,66.5,84.2,14.2,53.92584515,1962.667684,31.4,33.9,6.221294363,51.3,3.1,27.2,22.9,NA,20.1,63.6,20,55292,453.5494221
192.8,51.4,66.5,13.9,44.24412034,187,39.8,41.3,6.150455775,47.6,7,33.2,26.9,54.7,15.4,59.9,104,46475,354.7
213.7,NA,60,17.6,50.62883884,54,49.5,50.2,4.633204633,52.1,15.6,46.8,53.8,NA,9.3,40.2,29,39539,439.1
163.7,NA,84.7,6.1,61.85836692,568,40.4,43.2,4.125165648,58.9,4.4,27.6,30.3,46.4,23.6,65.1,185,81940,496.6
231.1,NA,49.8,31.4,41.2160804,161,36.7,43.3,6.399574544,38.6,15.5,41,34.7,NA,5.5,41.7,73,31170,494.7
194.9,37.6,48.7,26,46.62601626,169,36.1,39.5,4.448742747,43.7,14.3,31.5,39,NA,10.2,45.4,65,35314,513.2
214.2,NA,67,13.1,45.2306625,50,47.6,49.4,4.814305365,44.7,8.2,39.3,41.6,NA,7.2,54.6,23,49768,492.6
163.1,NA,69.2,11.3,46.97095568,2647,39.2,42.6,5.065070552,47.2,8.1,19.9,28,NA,21.4,59.5,962,66949,463.4
